
	Console			Probe  1									Probe  2									Probe  3									Probe  4									Probe  5									Probe  6									Probe  7									Probe  8									IO  1								
	Mode	Total Amps		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	Speed	Power	Amps	Max	Min		Temp	Error	Status	-	Output	-	Max	Min	
	RUN	0.8		152.5	-22	WARN	A-F	20.4	0.28	152.5	131.8		119.5	-55	ALRM	A-F	36.4	0.61	119.5	105.4		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.9		160.8	-14	WARN	A-F	19.6	0.27	160.8	152.5		134.3	-40	ALRM	A-F	39.6	0.66	134.3	119.5		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.6		167.0	-8	WARN	A-F	11.2	0.15	167.0	160.8		149.5	-25	ALRM	A-F	29.2	0.48	149.5	134.3		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0000		26.0	26.0	
	RUN	0.7		170.9	-4	    	A-F	11.2	0.15	170.9	167.0		158.4	-16	WARN	A-F	34.4	0.57	158.4	149.5		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.7		174.1	0	    	A-F	13.6	0.18	174.1	170.9		162.1	-12	WARN	A-F	32.4	0.54	162.1	158.4		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.4		177.2	2	    	A-F	4.8	0.06	177.2	174.1		167.5	-7	WARN	A-F	21.6	0.35	167.6	162.1		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.4		176.7	1	    	A-F	7.6	0.10	177.2	176.5		170.7	-4	    	A-F	18.8	0.31	170.7	167.5		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.4		176.1	1	    	A-F	7.2	0.10	176.8	176.0		172.6	-2	    	A-F	21.2	0.35	172.6	170.7		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.4		176.0	1	    	A-F	8.4	0.11	176.3	176.0		175.8	0	    	A-F	18.0	0.30	175.8	172.6		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
	RUN	0.3		175.2	0	    	A-F	8.0	0.10	176.0	175.2		176.0	1	    	A-F	16.4	0.27	176.1	175.8		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		472.0	100	T/C	A	0.0	0.00	472.0	472.0		26.0	2	    		0001		26.0	26.0	
